`term_id`,`title`,`parent_term_id`,`description`,`vocabulary_id`,`active`
152,"Plastinated Specimens",,"Organic material preserved by replacing water and fat in tissue with silicone, resulting in ""anatomical specimens [that] are safer to use, more pleasant to use, and are much more durable and have a much longer shelf life"" (University of Michigan Plastination Lab, n.d.); See also: Wet Lab
Note(s): ""Preserved tissue is first dissected and then dehydrated with acetone. It is immersed in a silicone bath under vacuum until the replacement of acetone is completed. After plastination, the resulting tissue is safe to handle (i.e., toxic fixatives are eliminated), the tissue has no odor and it is extremely durable. Thus, the anatomical specimens are safer to use, more pleasant to use, and are much more durable and have a much longer shelf life"" (University of Michigan Plastination Lab, n.d.)",3,1
153,Scenario,,"A written outline of a postulated sequence or development of events in a real or simulated clinical setting for use in instructional and assessment simulations. (CI Standardized Vocabulary Subcommittee)",3,1
154,"Searchable Electronic Database",,"A collection of information organized in such a way that a computer program can quickly select desired pieces of data (Webopedia, n.d.)
Synonymous with/Includes: PubMed",3,1
155,"Standardized/Simulated Patient (SP)",,"Individual trained to portray a patient with a specific condition in a realistic, standardized and repeatable way (where portrayal/presentation varies based only on learner performance) (ASPE, 2011)
Synonymous with/Includes: Gynecological Teaching Associates (GTA); Male Urogenital Teaching Associates (MUTA)
Note(s): ""SPs can be used for teaching and assessment of learners including but not limited to history/consultation, physical examination and other clinical skills in simulated clinical environments. SPs can also be used to give feedback and evaluate student performance."" (ASPE, 2011)",3,1
156,"Task Trainer",,"A physical model that simulates a subset of physiologic function to include normal and abnormal anatomy (Passiment, Sacks, & Huang, 2011); Such models which provide just the key elements of the task or skill being learned (CISL, 2011)
Synonymous with/Includes: Plastic IV Arm, Airway Management Head, Urinary catheter trainer, Pelvic examination trainer; Virtual reality endoscopic devices
Note(s): ""Part-task Trainers in plastic or other forms cannot fully replicate performing the task on real patients, but they do allow learners to acquire the basic steps of the procedures and some of the basic skills needed to then be taught the fine art of doing the procedures under supervision on actual human beings"" (CISL, 2011)",3,1
157,Ultrasound,,"Ultrasound is used by faculty and students for therapeutic purposes and /or to create Images using high-frequency sound waves to identify and examine organs and structures such as the heart; blood vessels; kidneys; liver; and, during pregnancy, fetus(es) (adapted from http://www.nlm.nih.gov/research/umls/).",3,1
158,"Virtual Patient",,"An interactive computer simulation of real-life clinical scenarios for the purpose of medical training, education, or assessment (Smothers, Azan, & Ellaway, 2010)
Does not include: Educational Technology; Virtual/Computerized Lab",3,1
160,"Virtual/Computerized Laboratory",,"A practical learning environment in which technology- and computer-based simulations allow learners to engage in computer-assisted instruction while being able to ask and answer questions and also engage in discussion of content (Cooke, Irby, & O’Brien, 2010a); also, to learn through experience by performing medical tasks, especially high-risk ones, in a safe environment (Uniformed Services University, 2011)
Synonymous with/Includes: Computer Assisted Instruction; Biochemistry; Microbiology; Molecular biology; Cell biology; Tissue culture laboratory; Pathology; Organic Chemistry; Physical Chemistry
Does not include: Educational Technology",3,1
161,"Wet Laboratory",,"Facilities outfitted with specialized equipment* and bench space or adjustable, flexible desktop space for working with solutions or biological materials (""C.1 Wet Laboratories,"" 2006; Stanford University School of Medicine, 2007; WBDG Staff, 2010) *Often includes sinks, chemical fume hoods, biosafety cabinets, and piped services such as deionized or RO water, lab cold and hot water, lab waste/vents, carbon dioxide, vacuum, compressed air, eyewash, safety showers, natural gas, telephone, LAN, and power (""C.1 Wet Laboratories,"" 2006)
Synonymous with/Includes:/Biochemistry; Cell Biology; Histology Slides; Microbiology; Molecular Biology; Tissue Culture Laboratory; Organic Chemistry; Pathology; Physical Chemistry; Preserved Specimens (not Cadavers, Prosected Specimens, or Plastinated Specimens)
Note(s): Frequently used for instruction and/or research in Biochemistry; Molecular biology; Cell biology; Tissue culture laboratory; Pathology; Organic Chemistry; Physical Chemistry (""C.1 Wet Laboratories,"" 2006)
""[T]raditional molecular and cell biology...must be facilitated by high-quality wet lab space with benches and standard, small scale, support space (including desks that are computer-friendly because even for molecular biology experimentation you need a computer). As long as people work with model organisms, cell culture, and molecular biology, this arrangement forms the basis of biomedical insights that are obtained by experimentation"" (Stanford University School of Medicine, 2007 p. 58).",3,1
162,"Written or Visual Media (or Digital Equivalent)",,"Reference materials produced or selected by faculty to augment course teaching and learning
Synonymous with/Includes: Handouts; Fiction or non-fiction Books; Poetry; Professional Journal Articles; Textbooks; Syllabi",3,1
