`mesh_descriptor_uid`,`name`,`annotation`,`created_at`,`updated_at`,`deleted`
D000030,"Abortion, Missed",check the tags FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:51,0
D000031,"Abortion, Septic","/vet permitted only if discussed as ""septic"" abortion: do not use automatically for animal abortion in brucellosis, vibriosis, trichomoniasis, etc; check the tags FEMALE & PREGNANCY",2010-01-01 00:00:00,2014-08-18 20:08:53,0
D000032,"Abortion, Therapeutic",do not use /util except by MeSH definition; don't forget also check tags FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:56,0
D000033,"Abortion, Threatened",check the tags FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:08:58,0
D000034,"Abortion, Veterinary",coordinate IM with specific type of abortion /vet (IM); check the tags ANIMALS & FEMALE & PREGNANCY,2010-01-01 00:00:00,2014-08-18 20:09:01,0
D000035,Abreaction,no qualif,2010-01-01 00:00:00,2014-08-18 20:09:04,0
D000036,Abrin,,2010-01-01 00:00:00,2014-08-18 20:09:04,0
D000037,Abruptio Placentae,,2010-01-01 00:00:00,2014-08-18 20:09:07,0
D000038,Abscess,IM; coord IM with site (organ/dis term) (IM) + precoord organism/infect term (IM); if unspecified bacterial abscess do not coord with BACTERIAL INFECTIONS (since most abscesses are bact) but coord with specific bact infect term if given (as ABSCESS + STAPHYLOCOCCAL INFECTIONS),2010-01-01 00:00:00,2014-08-18 20:09:10,0
D000039,Peritonsillar Abscess,coordinate IM with infection term (IM) but not BACTERIAL INFECTIONS (since most abscesses are bacterial),2010-01-01 00:00:00,2014-08-18 20:09:13,0
D000040,Abscisic Acid,,2010-01-01 00:00:00,2014-08-18 20:09:17,0
D000041,Absenteeism,IM; no qualif,2010-01-01 00:00:00,2014-08-18 20:09:22,0
D000042,Absorption,almost never IM; coordinate NIM with substance /pharmacokin (IM) or /metab (IM) or organ /metab (IM),2010-01-01 00:00:00,2014-08-18 20:09:22,0
D000043,Abstracting and Indexing as Topic,IM; medical abstracting & indexing: do not coordinate with MEDICINE; do not confuse with Publication Types ABSTRACTS or MEETING ABSTRACTS,2010-01-01 00:00:00,2014-08-18 20:09:23,0
D000044,Dental Abutments,"tooth or root used as anchor for denture or implant, etc.; DF: DENT ABUTMENTS",2010-01-01 00:00:00,2014-08-18 20:09:25,0
D000045,Acacia,acacia pharmaceut agents are probably GUM ARABIC; coord with specific PLANT STRUCTURES term if pertinent; for use in therapy coord IM with PHYTOTHERAPY (IM) + disease/drug ther (IM) + PLANT PREPARATIONS or its indentations/ther use (IM or NIM) + specific plant chemical /ther use (IM) if pertinent; Manual 26.29,2010-01-01 00:00:00,2014-08-18 20:09:27,0
D000046,Academic Medical Centers,specify geog; DF: ACAD MED CENTERS,2010-01-01 00:00:00,2014-08-18 20:09:29,0
D000047,Academies and Institutes,not for educ acad & institutes ( = SCHOOLS or its indentions); Acad of Med: do not index also under MEDICINE; NY Acad of Med: when geog coord needed use NEW YORK CITY; DF: ACADEMIES,2010-01-01 00:00:00,2014-08-18 20:09:31,0
D000048,Acanthamoeba,"infection: coordinate IM with AMEBIASIS (IM); coordinate with specific protozoan terms (ANTIGENS, PROTOZOAN, etc) if pertinent",2010-01-01 00:00:00,2014-08-18 20:09:33,0
D000049,Acanthocephala,"infection: coord IM with HELMINTHIASIS (IM); for antigens, coord with ANTIGENS, HELMINTH, for antibodies, coord with ANTIBODIES, HELMINTH",2010-01-01 00:00:00,2014-08-18 20:09:35,0
D000050,Acanthocytes,A 11 qualif,2010-01-01 00:00:00,2014-08-18 20:09:37,0
D000051,Acantholysis,ACANTHOLYSIS BULLOSA see EPIDERMOLYSIS BULLOSA is also available,2010-01-01 00:00:00,2014-08-18 20:09:38,0
D000052,Acanthosis Nigricans,a type of melanosis,2010-01-01 00:00:00,2014-08-18 20:09:41,0
D000053,Acari,,2010-01-01 00:00:00,2014-08-18 20:09:44,0
D000054,Acceleration,IM,2010-01-01 00:00:00,2014-08-18 20:09:46,0
D000055,Accessory Nerve,neopl = ACCESSORY NERVE DISEASES (IM) + CRANIAL NERVE NEOPLASMS (IM) + histol type of neopl (IM),2010-01-01 00:00:00,2014-08-18 20:09:46,0
D000056,Accident Prevention,,2010-01-01 00:00:00,2014-08-18 20:09:50,0
D000057,Accident Proneness,no qualif,2010-01-01 00:00:00,2014-08-18 20:09:52,0
D000058,Accidental Falls,coord IM with specific inj (IM) if pertinent,2010-01-01 00:00:00,2014-08-18 20:09:52,0
D000059,Accidents,GEN or unspecified; prefer specifics,2010-01-01 00:00:00,2014-08-18 20:09:53,0
D000060,"Accidents, Aviation",IM; coord with specific inj (IM),2010-01-01 00:00:00,2014-08-18 20:09:54,0
D000061,"Accidents, Home",IM; coord with specific inj (IM),2010-01-01 00:00:00,2014-08-18 20:09:56,0
D000062,"Accidents, Occupational",IM; coord with specific occupation (IM); DF: ACCIDENTS OCCUP,2010-01-01 00:00:00,2014-08-18 20:09:57,0
D000063,"Accidents, Traffic","implies automobile accid so do not coord with AUTOMOBILES unless the auto is especially discussed; coord IM with BICYCLING (IM) or MOTORCYCLES (IM) if pertinent; not for railroad accidents ( = RAILROADS + ACCIDENTS) or all-terrain vehicles, motorbikes or snowmobiles ( = OFF-ROAD MOTOR VEHICLES + ACCIDENTS)",2010-01-01 00:00:00,2014-08-18 20:09:59,0
D000064,Acclimatization,"includes to climate, altitude, weather but not to gravity ( = ADAPTATION, PHYSIOLOGICAL)",2010-01-01 00:00:00,2014-08-18 20:10:00,0
D000065,"Accommodation, Ocular","do not confuse with ADAPTATION, OCULAR, adjustment of eye to light",2010-01-01 00:00:00,2014-08-18 20:10:01,0
D000066,Accounting,IM; coord with SPEC (IM) or specific financial endeavor (IM),2010-01-01 00:00:00,2014-08-18 20:10:04,0
D000067,Accounts Payable and Receivable,no qualif; DF: ACCOUNTS PAYABLE,2010-01-01 00:00:00,2014-08-18 20:10:06,0
D000068,Accreditation,by the profession; do not confuse with LICENSURE (by the state),2010-01-01 00:00:00,2014-08-18 20:10:06,0
D000069,Acculturation,,2010-01-01 00:00:00,2014-08-18 20:10:08,0
D000070,Acebutolol,,2010-01-01 00:00:00,2014-08-18 20:10:09,0
D000072,Acedapsone,,2010-01-01 00:00:00,2014-08-18 20:10:18,0
D000073,Acenaphthenes,,2010-01-01 00:00:00,2014-08-18 20:10:22,0
D000074,Acenocoumarol,,2010-01-01 00:00:00,2014-08-18 20:10:24,0
D000075,Acepromazine,,2010-01-01 00:00:00,2014-08-18 20:10:31,0
D000076,Acetabularia,a green alga,2010-01-01 00:00:00,2014-08-18 20:10:38,0
D000077,Acetabulum,"point of union of the 3 pelvic bones; do not confuse with HIP or HIP JOINT or PELVIC BONES; fract = ACETABULUM /inj (IM) + FRACTURES, BONE (IM)",2010-01-01 00:00:00,2014-08-18 20:10:41,0
D000079,Acetaldehyde,,2010-01-01 00:00:00,2014-08-18 20:10:45,0
D000080,Acetals,,2010-01-01 00:00:00,2014-08-18 20:10:47,0
D000081,Acetamides,,2010-01-01 00:00:00,2014-08-18 20:10:51,0
D000082,Acetaminophen,,2010-01-01 00:00:00,2014-08-18 20:10:53,0
D000083,Acetanilides,,2010-01-01 00:00:00,2014-08-18 20:11:00,0
D000084,Acetate Kinase,,2010-01-01 00:00:00,2014-08-18 20:11:03,0
D000085,Acetates,GEN or unspecified; prefer specifics,2010-01-01 00:00:00,2014-08-18 20:11:06,0
D000086,Acetazolamide,,2010-01-01 00:00:00,2014-08-18 20:11:10,0
D000088,Acetic Acids,do not confuse with ACETIC ACID; note X ref ACETIC ACID ESTERS see ACETATES; acetic acid salts = ACETATES,2010-01-01 00:00:00,2010-01-01 00:00:00,0
D000089,Acetic Anhydrides,,2010-01-01 00:00:00,2014-08-18 20:11:23,0
D000090,Acetoacetates,,2010-01-01 00:00:00,2014-08-18 20:11:27,0
D000091,Acetobacter,do not confuse with ACETOBACTERIUM,2010-01-01 00:00:00,2014-08-18 20:11:29,0
D000092,Acetohexamide,,2010-01-01 00:00:00,2014-08-18 20:11:31,0
D000093,Acetoin,,2010-01-01 00:00:00,2014-08-18 20:11:34,0
D000094,Acetoin Dehydrogenase,,2010-01-01 00:00:00,2014-08-18 20:11:37,0
D000095,Acetolactate Synthase,,2010-01-01 00:00:00,2014-08-18 20:11:42,0
D000096,Acetone,acetonemia & acetonuria go under KETONE BODIES,2010-01-01 00:00:00,2014-08-18 20:11:47,0
D000097,Acetonitriles,,2010-01-01 00:00:00,2014-08-18 20:11:51,0
D000098,Acetophenones,,2010-01-01 00:00:00,2014-08-18 20:11:53,0
D000099,Acetoxyacetylaminofluorene,,2010-01-01 00:00:00,2014-08-18 20:11:56,0
D000100,Acetrizoic Acid,,2010-01-01 00:00:00,2014-08-18 20:12:02,0
D000101,Acetyl-CoA C-Acetyltransferase,do not confuse with ACETYL-COA C-ACYLTRANSFERASE,2010-01-01 00:00:00,2014-08-18 20:12:08,0
D000102,Acetyl-CoA C-Acyltransferase,do not confuse with ACETYL-COA C-ACETYLTRANSFERASE,2010-01-01 00:00:00,2014-08-18 20:12:12,0
D000103,Acetyl-CoA Carboxylase,,2010-01-01 00:00:00,2014-08-18 20:12:18,0
D000104,Acetyl-CoA Hydrolase,,2010-01-01 00:00:00,2014-08-18 20:12:22,0
D000105,Acetyl Coenzyme A,do not confuse with ACYL COENZYME A,2010-01-01 00:00:00,2014-08-18 20:12:26,0
D000106,Acetate-CoA Ligase,,2010-01-01 00:00:00,2014-08-18 20:12:29,0
D000107,Acetylation,almost never IM; enzymatic acetylation: coord NIM with ACETYLTRANSFERASES (IM) + substrate (NIM) or specific acetyltransferase (IM),2010-01-01 00:00:00,2014-08-18 20:12:33,0
D000108,Acetylcarnitine,deficiency: coordinate ACETYLCARNITINE /defic (IM) with VITAMIN B DEFICIENCY (IM),2010-01-01 00:00:00,2014-08-18 20:12:34,0
D000109,Acetylcholine,/biosyn /physiol permitted,2010-01-01 00:00:00,2014-08-18 20:12:39,0
D000110,Acetylcholinesterase,reactivation or reactivators: coord NIM (with no qualif) with CHOLINESTERASE REACTIVATORS (IM),2010-01-01 00:00:00,2014-08-18 20:12:49,0
D000111,Acetylcysteine,,2010-01-01 00:00:00,2014-08-18 20:12:55,0
D000112,Acetyldigitoxins,do not confuse with ACETYLDIGOXINS,2010-01-01 00:00:00,2014-08-18 20:13:29,0
D000113,Acetyldigoxins,Digitalis glycosides; do not confuse with ACETYLDIGITOXINS; alpha isomer & beta isomer go here,2010-01-01 00:00:00,2014-08-18 20:13:34,0
D000114,Acetylene,,2010-01-01 00:00:00,2014-08-18 20:13:45,0
D000115,Acetylesterase,,2010-01-01 00:00:00,2014-08-18 20:13:49,0
D000116,Acetylgalactosamine,,2010-01-01 00:00:00,2014-08-18 20:13:55,0
D000117,Acetylglucosamine,,2010-01-01 00:00:00,2014-08-18 20:14:01,0
D000118,Acetylglucosaminidase,do not confuse with BETA-N-ACETYLHEXOSAMINIDASES,2010-01-01 00:00:00,2014-08-18 20:14:06,0
D000119,Acetylmuramyl-Alanyl-Isoglutamine,/biosyn permitted; DF: AMAIG,2010-01-01 00:00:00,2014-08-18 20:14:11,0
D000120,Acecainide,,2010-01-01 00:00:00,2014-08-18 20:14:17,0
D000121,Acetylserotonin O-Methyltransferase,,2010-01-01 00:00:00,2014-08-18 20:14:22,0
D000122,Acetylthiocholine,,2010-01-01 00:00:00,2014-08-18 20:14:27,0
D000123,Acetyltransferases,,2010-01-01 00:00:00,2014-08-18 20:14:30,0
D000124,Achievement,no qualif,2010-01-01 00:00:00,2014-08-18 20:14:33,0
D000125,Achilles Tendon,rupture = ACHILLES TENDON /inj (IM) + RUPTURE (NIM),2010-01-01 00:00:00,2014-08-18 20:14:34,0
D000126,Achlorhydria,,2010-01-01 00:00:00,2014-08-18 20:14:37,0
D000127,Acholeplasma,,2010-01-01 00:00:00,2014-08-18 20:14:43,0
D000128,Acholeplasma laidlawii,"in sewage, dung, soil & animals",2010-01-01 00:00:00,2014-08-18 20:14:45,0
D000129,Acholeplasmataceae,free-living saphrophytes & mammalian & avian parasites,2010-01-01 00:00:00,2014-08-18 20:14:48,0
D000130,Achondroplasia,,2010-01-01 00:00:00,2014-08-18 20:14:51,0
D000134,"Acid Etching, Dental",etching of tooth surface to increase adhesion of resins; do not use for etching of metal appliances for better adhesion ( = specific appliance (IM) + METALLURGY (NIM) ); do not use for etching of veneers or resins ( = specific dent restoration); DF: ACID ETCHING DENT,2010-01-01 00:00:00,2014-08-18 20:14:58,0
D000135,Acid Phosphatase,"/defic permitted: TN 222; prostate-specific acid phosphatase (PROSTATE + ACID PHOSPHATASE): do not confuse with PROSTATE-SPECIFIC ANTIGEN, a serine proteinase",2010-01-01 00:00:00,2014-08-18 20:15:00,0
D000136,Acid-Base Equilibrium,consider also ACID-BASE IMBALANCE,2010-01-01 00:00:00,2014-08-18 20:15:05,0
D000137,Acid-Base Imbalance,,2010-01-01 00:00:00,2014-08-18 20:15:06,0
D000138,Acidosis,an acid-base imbalance; GEN & unspecified; prefer specifics,2010-01-01 00:00:00,2014-08-18 20:15:13,0
D000140,"Acidosis, Lactic",accumulation of lactic acid,2010-01-01 00:00:00,2014-08-18 20:15:19,0
D000141,"Acidosis, Renal Tubular",,2010-01-01 00:00:00,2014-08-18 20:15:23,0
D000142,"Acidosis, Respiratory",,2010-01-01 00:00:00,2014-08-18 20:15:30,0
D000143,Acids,"GEN; avoid; do not use for specific acids, acid-fast bacteria, acid reactions, etc.",2010-01-01 00:00:00,2014-08-18 20:15:35,0
D000144,"Acids, Acyclic",GEN; prefer specifics; used for mapping supplementary chemicals,2010-01-01 00:00:00,2014-08-18 20:15:37,0
D000145,"Acids, Aldehydic",GEN; prefer specifics; used for mapping supplementary chemicals,2010-01-01 00:00:00,2014-08-18 20:15:40,0
D000146,"Acids, Carbocyclic",GEN; prefer specifics; used for mapping supplementary chemicals; do not confuse with CARBOXYLIC ACIDS,2010-01-01 00:00:00,2014-08-18 20:15:44,0
D000147,"Acids, Heterocyclic",GEN; prefer specifics; used for mapping supplementary chemicals,2010-01-01 00:00:00,2014-08-18 20:15:49,0
D000148,"Acids, Noncarboxylic",GEN; prefer specifics; used for mapping supplementary chemicals,2010-01-01 00:00:00,2014-08-18 20:15:54,0
D000149,Acidulated Phosphate Fluoride,,2010-01-01 00:00:00,2014-08-18 20:15:56,0
D000150,Acinetobacter,infection = ACINETOBACTER INFECTIONS,2010-01-01 00:00:00,2014-08-18 20:16:00,0
D000151,Acinetobacter Infections,gram-neg bact infect,2010-01-01 00:00:00,2014-08-18 20:16:02,0
D000152,Acne Vulgaris,an acneiform eruption,2010-01-01 00:00:00,2014-08-18 20:16:06,0
D000153,Acne Keloid,acneiform eruption with keloid scarring,2010-01-01 00:00:00,2014-08-18 20:16:09,0
D000154,Aconitate Hydratase,,2010-01-01 00:00:00,2014-08-18 20:16:15,0
D000156,Aconitic Acid,,2010-01-01 00:00:00,2014-08-18 20:16:20,0
D000157,Aconitine,ACONITE (see ACONITUM) is also available,2010-01-01 00:00:00,2014-08-18 20:16:24,0
D000158,Acoustic Impedance Tests,do not use /util except by MeSH definition,2010-01-01 00:00:00,2014-08-18 20:16:27,0
D000159,Vestibulocochlear Nerve,"neopl: coord VESTIBULOCOCHLEAR NERVE DISEASES (IM) with CRANIAL NERVE NEOPLASMS (IM) + histol type of neopl (IM) but note that NEUROMA, ACOUSTIC is also available",2010-01-01 00:00:00,2014-08-18 20:16:30,0
D000160,Vestibulocochlear Nerve Diseases,coordinate IM with COCHLEAR NERVE (IM) for cochlear nerve disease or with VESTIBULAR NERVE (IM) for vestibular nerve disease: neoplasms: coordinate IM with CRANIAL NERVE NEOPLASMS (IM) + histological type of neoplasm (IM); DF: ACOUSTIC NERVE DIS,2010-01-01 00:00:00,2014-08-18 20:16:34,0
D000161,Acoustic Stimulation,,2010-01-01 00:00:00,2014-08-18 20:16:41,0
D000162,Acoustics,"in speech & hearing research & for the environment (home, hospital, facilities, theater, etc.)",2010-01-01 00:00:00,2014-08-18 20:16:43,0
D000163,Acquired Immunodeficiency Syndrome,"caused by HIV; coord IM with HIV-1 or HIV-2 (IM) if pertinent; /epidemiol: consider also HIV SEROPREVALENCE; AIDS-RELATED OPPORTUNISTIC INFECTIONS is available if particularly discussed: see note there; for lymphoma with AIDS, use LYMPHOMA, AIDS-RELATED",2010-01-01 00:00:00,2014-08-18 20:16:44,0
D000164,Acremonium,,2010-01-01 00:00:00,2014-08-18 20:16:51,0
D000165,Acridine Orange,D25-26 qualif,2010-01-01 00:00:00,2014-08-18 20:16:53,0
D000166,Acridines,D25-26 qualif; acridinamines & acridinylamines = AMINOACRIDINES,2010-01-01 00:00:00,2014-08-18 20:16:59,0
D000167,Acriflavine,D25-26 qualif,2010-01-01 00:00:00,2014-08-18 20:17:01,0
D000168,Acrocephalosyndactylia,"congen deform of skull, fingers & toes; do not use /congen & do not coord with INFANT, NEWBORN, DISEASES",2010-01-01 00:00:00,2014-08-18 20:17:04,0
D000169,Acrodermatitis,dermatitis of hands or feet so do not bother to coord with HAND DERMATOSES or FOOT DERMATOSES unless particularly discussed,2010-01-01 00:00:00,2014-08-18 20:17:12,0
D000170,Acrodynia,,2010-01-01 00:00:00,2014-08-18 20:17:19,0
D000171,Acrolein,,2010-01-01 00:00:00,2014-08-18 20:17:24,0
D000172,Acromegaly,coordinate with GROWTH HORMONE/secret in animals or HUMAN GROWTH HORMONE/secret in humans if pertinent,2010-01-01 00:00:00,2014-08-18 20:17:29,0
D000173,Acromioclavicular Joint,dislocation: coord (IM) with DISLOCATIONS (IM),2010-01-01 00:00:00,2014-08-18 20:17:34,0
D000174,Acromion,"part of the scapula; fracture = ACROMION /inj (IM) + FRACTURES, BONE (IM), not SHOULDER FRACTURES",2010-01-01 00:00:00,2014-08-18 20:17:36,0
D000175,Acronine,/biosyn permitted if by plant,2010-01-01 00:00:00,2014-08-18 20:17:39,0
D000176,Acrosin,,2010-01-01 00:00:00,2014-08-18 20:17:43,0
D000177,Acrosome,,2010-01-01 00:00:00,2014-08-18 20:17:47,0
D000178,Acrylamides,ACRYLAMIDE is also available,2010-01-01 00:00:00,2014-08-18 20:17:50,0
D000179,Acrylates,,2010-01-01 00:00:00,2014-08-18 20:17:54,0
D000180,Acrylic Resins,D25-26 qualif,2010-01-01 00:00:00,2014-08-18 20:17:56,0
D000181,Acrylonitrile,,2010-01-01 00:00:00,2014-08-18 20:17:59,0
D000182,"ACTH Syndrome, Ectopic","caused by ""ACTH production by non-pituitary neoplasms""; do not use /blood supply /chem /second /secret /ultrastruct; coord IM with precoord organ/neopl term with /secret (IM) + histol type of neopl /secret (IM)",2010-01-01 00:00:00,2014-08-18 20:18:02,0
D000183,Actihaemyl,,2010-01-01 00:00:00,2014-08-18 20:18:06,0
D000184,Acting Out,no qualif,2010-01-01 00:00:00,2014-08-18 20:18:10,0
D000185,Actinin,a muscle & microfilament protein; /biosyn /physiol permitted,2010-01-01 00:00:00,2014-08-18 20:18:11,0
D000186,Actinium,naturally radioactive; IM,2010-01-01 00:00:00,2014-08-18 20:18:16,0
D000187,Actinobacillosis,a vet dis entity caused by Actinobacillus lignieresii: do not confuse with ACTINOBACILLUS INFECTIONS; check tag ANIMALS,2010-01-01 00:00:00,2014-08-18 20:18:19,0
D000188,Actinobacillus,infection = ACTINOBACILLUS INFECTIONS or ACTINOBACILLOSIS: see notes there,2010-01-01 00:00:00,2014-08-18 20:18:24,0
D000189,Actinobacillus Infections,"do not confuse with ACTINOBACILLOSIS, a specific vet dis entity caused by A. lignieresii",2010-01-01 00:00:00,2014-08-18 20:18:25,0
D000190,Actinomyces,a genus of the family ACTINOMYCETACEAE of the order ACTINOMYCETALES; infection = ACTINOMYCOSIS,2010-01-01 00:00:00,2014-08-18 20:18:29,0
D000191,Actinomycetaceae,a family of the order ACTINOMYCETALES,2010-01-01 00:00:00,2014-08-18 20:18:31,0
D000192,Actinomycetales,infection = ACTINOMYCETALES INFECTIONS,2010-01-01 00:00:00,2014-08-18 20:18:32,0
D000193,Actinomycetales Infections,"gram-pos bact infect by organism of the order ACTINOMYCETALES; do not confuse with ACTINOMYCOSIS, infection by genus ACTINOMYCES",2010-01-01 00:00:00,2014-08-18 20:18:35,0
D000196,Actinomycosis,"bact infect, not fungal despite ""-mycosis"": = infection by genus ACTINOMYCES; do not confuse with ACTINOMYCETALES INFECTIONS, infection by order ACTINOMYCETALES; pulm actinomycosis = ACTINOMYCOSIS (IM) + LUNG DISEASES (IM), not LUNG DISEASES, FUNGAL",2010-01-01 00:00:00,2014-08-18 20:18:39,0
D000197,"Actinomycosis, Cervicofacial","bact infect, not fungal despite ""-mycosis"": = infect by genus ACTINOMYCES",2010-01-01 00:00:00,2014-08-18 20:18:43,0
D000198,Spectinomycin,,2010-01-01 00:00:00,2014-08-18 20:18:48,0
D000199,Actins,,2010-01-01 00:00:00,2014-08-18 20:18:56,0
D000200,Action Potentials,do not confuse with SYNAPTIC POTENTIALS see SYNAPTIC TRANSMISSION,2010-01-01 00:00:00,2014-08-18 20:19:04,0
D000201,Activation Analysis,an anal chem technique; NIM; DF: ACTIVATION ANAL,2010-01-01 00:00:00,2014-08-18 20:19:06,0
D000202,Activator Appliances,,2010-01-01 00:00:00,2014-08-18 20:19:08,0
D000203,Activities of Daily Living,,2010-01-01 00:00:00,2014-08-18 20:19:12,0
D000204,Activity Cycles,less than 24 hours,2010-01-01 00:00:00,2014-08-18 20:19:14,0
D000205,Actomyosin,a muscle protein; /biosyn /physiol permitted,2010-01-01 00:00:00,2014-08-18 20:19:16,0
D000206,Actuarial Analysis,IM; few qualif apply,2010-01-01 00:00:00,2014-08-18 20:19:20,0
D000208,Acute Disease,IM GEN only; usually NIM with specific dis IM; no qualif when NIM; Manual 23.16+,2010-01-01 00:00:00,2014-08-18 20:19:22,0
D000209,Acute-Phase Proteins,blood proteins; /biosyn /drug eff /physiol permitted,2010-01-01 00:00:00,2014-08-18 20:19:24,0
D000210,Acute-Phase Reaction,"note category: in presence of a dis, use /etiol, not /compl",2010-01-01 00:00:00,2014-08-18 20:19:29,0
D000212,Acyclovir,,2010-01-01 00:00:00,2014-08-18 20:19:34,0
D000213,Acyl Carrier Protein,/biosyn /physiol permitted,2010-01-01 00:00:00,2014-08-18 20:20:05,0
D000214,Acyl Coenzyme A,do not confuse with ACETYL COENZYME A,2010-01-01 00:00:00,2014-08-18 20:20:09,0
