`mesh_descriptor_uid`,`previous_indexing`,`mesh_previous_indexing_id`
D000296,Child Psychiatry (1966),132
D000298,Adolescence (1966-1982),133
D000299,Adolescence (1966-1982),134
D000301,Cholestenes (1973-1978),135
D000302,Adrenal Glands (1966-1974),136
D000303,Adrenal Gland Diseases (1966-1974),137
D000306,Adrenal Gland Neoplasms (1966-1974),138
D000316,Sympathomimetics (1966-1968),139
D000317,Sympatholytics (1966-1968),140
D000318,Sympathomimetics (1966-1968),141
D000319,Sympatholytics (1966-1968),142
D000320,Sympathetic Nervous System (1966-1976),143
D000322,Sympathomimetics (1966-1974),144
D000325,Carrier Proteins (1974),145
D000326,Adrenal Gland Hypofunction (1968-1982),146
D000331,Coelenterata (1972-1974),147
D000335,Aerosols (1966-1972),148
D000337,Space Flight (1975-1979),149
D000342,Affect (1966-1968),150
D000343,Dumping Syndrome (1966-1968),151
D000344,Neural Transmission (1968-1975),152
D000345,Binding Sites (1968-1974),153
D000355,Horse Diseases (1966-1969),154
D000357,Swine Diseases (1966-1969),155
D000358,DNA Viruses (1966-1974),156
D000359,Progressive Patient Care (1966-1967),157
D000363,Basidiomycetes (1966-1974),158
D000364,Agaricales (1966-1985),159
D000367,Aging (1966-1967),160
D000369,Aged (1966-1986),161
D000373,Antibodies (1966-1972),162
D000376,Butylamines (1973-1974),163
D000386,Acquired Immunodeficiency Syndrome (1983-1986),164
D000392,Air (1966-1971),165
D000393,Air Pollution (1966-1974),166
D000400,Birds (1966-1967),167
D000402,Respiratory Tract Diseases (1966-1970),168
D000403,Respiration (1966-1970),169
D000404,Rauwolfia (1966-1970),170
D000405,Mutism (1966-1970),171
D000408,Antibiotics (1971-1975),172
D000411,Alanine (1974-1975),173
D000412,Alanine (1973-1974),174
D000423,Indoles (1973-1974),175
D000426,Alcohol Oxidoreductases (1966-1986),176
D000428,Alcoholic Beverages (1966-1968),177
D000439,Alcohols (1966-1971),178
D000440,Alcohols (1966-1971),179
D000443,Allyl Compounds (1972-1974),180
D000444,Alcohol Oxidoreductases (1974-1979),181
D000445,Oxidoreductases (1966-1972),182
D000448,Carbamates (1966-1971),183
D000449,Alcohol Oxidoreductases (1972-1975),184
D000451,Aldosterone (1966-1977),185
D000452,"Hydrocarbons, Halogenated (1966-1970)",186
D000453,Carnivora (1966-1967),187
D000455,Alfalfa (1963-2001),188
D000458,Algae (1966-1969),189
D000459,Algae (1966-1970),190
D000460,Algae (1966-1969),191
D000461,Algae (1966-1970),192
D000472,Alkalosis (1966-1970),193
D000476,Alkylating Agents (1966-1972),194
D000479,Mercury (1966-1976),195
D000483,Genes (1966-1967),196
D000487,Cycloparaffins (1966-1971),197
D000488,Health Manpower (1968-1970),198
D000490,Garlic (1966-1985),199
D000492,Amidohydrolases (1974),200
D000493,Enzymes (1966),201
D000494,Binding Sites (1968-1970),202
D000498,Alkenes (1966-1970),203
D000499,Allyl Compounds (1974-1975),204
D000500,Allyl Compounds (1973-1974),205
D000501,Allyl Compounds (1971-1975),206
D000509,Fetal Proteins (1970-1974),207
D000511,Macroglobulins (1973-1975),208
D000513,Electroencephalography (1966-1971),209
D000514,Chymotrypsin/antagonists & inhibitors (1968-1986),210
D000516,Amylases (1966-1977),211
D000517,Chlorine (1972-1974),212
D000518,Ornithine (1966-1974),213
D000519,Galactosidases (1966-1978),214
D000520,Glucosidases (1966-1977),215
D000521,MSH (1966-1987),216
D000524,Arboviruses (1966-1980),217
D000525,Azepines (1966-1967),218
D000526,Amino Alcohols (1966-1971),219
D000527,Prostaglandins (1966-1974),220
D000530,Drug Combinations (1974),221
D000533,Social Behavior (1969-1977),222
D000534,Aluminum (1973-1974),223
D000536,Aluminum (1966-1977),224
D000537,Aluminum (1966-1977),225
D000540,Alveoloplasty (1966-1979),226
D000542,Respiratory Hypersensitivity (1966-1976),227
D000546,Mycotoxins (1974),228
D000548,Azo Compounds (1969-1975),229
D000551,Aniline Compounds (1974),230
D000554,Health Facilities (1968-1978),231
D000556,Ambulatory Care (1966-1979),232
D000557,Urodela (1966-1971),233
D000558,Ambystoma (1972-1980),234
D000560,Antibiotics (1966-1972),235
D000561,Antibiotics (1966-1972),236
D000570,Neoplasms (1966-1974),237
D000572,Cardiovascular Diseases (1966-1974),238
D000580,Azo Compounds (1969-1975),239
D000582,Glutamine (1974),240
D000583,Aminobutyric Acids (1973-1974),241
D000584,Diuretics (1966-1971),242
D000585,Acridines (1966-1979),243
D000586,"Chemistry, Organic (1966-1970)",244
D000587,Oxidoreductases (1966-1974),245
D000590,Peptides (1966-1976),246
D000591,Isomerases (1966-1971),247
D000597,Amino Acids (1966-1978),248
D000604,Ligases (1966-1971),249
D000607,Methylamines (1972-1974),250
D000609,Acridines (1966-1979),251
D000611,Biphenyl Compounds (1972-1974),252
D000612,Aminobutyric Acid (1974),253
D000615,Ethylamines (1973-1974),254
D000620,Imidazoles (1966-1977),255
D000623,Hydro-Lyases (1966-1972),256
D000624,Acyltransferases (1966-1971),257
D000625,Acetic Acids (1972-1974),258
D000627,Amines (1966-1978),259
D000631,Amines (1966-1978),260
D000633,"Oxidoreductases, N-Demethylating",261
D000634,Quinolines (1968-1974),262
D000635,Amines (1972-1974),263
D000638,Benzofurans (1968-1974),264
D000640,Herbicides (1966-1971),265
D000642,Lyases (1966-1972),266
D000645,Ammonium Compounds (1966-1970),267
D000648,Amnesia (1966-1975),268
D000649,Amnion (1966-1970),269
D000652,Amnion (1966-1982),270
D000657,Dibenzoxazepines (1971-1974),271
D000658,Ampicillin (1975-1974),272
D000659,Adenosine Monophosphate (1974),273
D000662,Amphetamine (1966-1975),274
D000664,Amphibia (1966-1977),275
D000665,Buffers (1966-1979),276
D000668,Ampicillin (1966-1987),277
D000670,Antiprotozoal Agents (1966-1971),278
D000673,Amputation (1966-1971),279
D000675,Antipyrine (1966-1974) /analogs & derivatives (1975-1979),280
D000676,Aminopyridines (1979-1986),281
D000677,Acridines (1966-1979),282
D000678,Cyanides (1966-1967),283
D000683,Amyloid (1966-1986),284
D000685,Amyloid (1966-1978),285
D000691,Alkaloids (1974),286
D000693,Oxygen (1966-1970),287
D000694,Anus Neoplasms (1966-1967),288
D000695,Anus (1966-1967),289
D000701,Analgesics (1966-1974),290
D000704,Statistics (1966-1967),291
D000705,Cell Division (1966-1977),292
D000706,Complement (1968-1976),293
D000710,Bacteria (1966-1974),294
D000711,Anaplasmosis (1966-1976),295
D000713,specific digestive system organ or disease/surgery (1966-1987),296
D000714,organ/disease/surgery (1966-1987),297
D000721,Peptide Hydrolases (1972-1974),298
D000724,Hookworm Infections (1966-1967),299
D000726,Androgens (1966-1977),300
D000727,Carrier Proteins (1971-1979),301
D000732,Androstanes (1968-1979),302
D000734,Androstenes (1973),303
D000736,Androstanes (1968-1972),304
D000742,Anemia (1966-1979),305
D000751,Anemia (1966-1967),306
D000753,"Anemia, Aplastic (1966-1985)",307
D000754,"Anemia, Aplastic (1966-1985)",308
D000761,Anesthesiology (1966-Jul 1977),309
D000762,Anesthesia or specific (1966-1985),310
D000764,"Anesthesia, Inhalation (1966-1986)",311
D000767,"Anesthesia, Conduction (1966-1970)",312
D000778,Anesthetics (1966-1970),313
D000781,Anisoles (1974-1976),314
D000782,Chromosome Abnormalities (1966-1967),315
D000784,Aneurysm (1966-1976),316
D000786,Hostility (1968),317
D000788,Angina Pectoris (1966-1976),318
D000789,Angina Pectoris (1966-1983),319
D000795,Angiokeratoma (1966-1972),320
D000796,Eosinophilia (1966-1984),321
D000800,Arterial Occlusive Diseases (1973-1981),322
D000801,Metastrongyloidea (1966-1980),323
D000802,Angiotensin II (1966-1974),324
D000803,Angiotensin II (1966-1977),325
D000805,Angiotensin II (1966-1976),326
D000806,Enzyme Inhibitors (1975-1987),327
D000808,Alpha Globulins (1968-1974),328
D000809,Angiotensin II (1966-1977),329
D000811,Eels (1966-1971),330
D000815,Aniline Compounds (1973-1974),331
D000816,Aniline Compounds (1970-1975),332
D000819,Communication (1966-1967),333
D000822,Agriculture (1966-1975),334
D000824,Nutrition (1966-1967),335
D000825,Animals/anatomy & histology (1966-1997),336
D000832,Animals (1966-1967),337
D000835,Animals (1966-1977),338
D000836,Animals (1966-1967),339
D000840,Ethers (1966-1970),340
D000841,Antibiotics (1968-1974),341
D000849,Aphasia (1966-1979),342
D000850,Social Behavior Disorders (1969-1970),343
D000854,Lice (1966-1971),344
D000858,Ovulation (1966-1974),345
D000862,Ants (1966-1977),346
D000865,Aniline Compounds (1968-1974),347
D000868,Muscular Diseases (1966-1971),348
D000869,Anterior Chamber (1966-1984),349
D000875,Anthracenes (1968-1974),350
D000876,Acrylamides (1973-1974),351
D000877,Anthranilic Acids (1972-1974),352
D000884,Anthropology (1966-1967),353
D000885,Anthropology (1966-1967),354
D000894,"Analgesics, Anti-Inflammatory (1966-1986)",355
D000897,Antacids (1966-1976),356
D000899,Furans (1974-1975),357
D000903,Antibiotics (1966),358
D000904,Antibiotics (1966-1974),359
D000907,Antibodies (1966-1972),360
D000908,Antibodies (1966-1972),361
D000909,Antibodies (1966-1987),362
D000911,Antibodies (1975-1981),363
D000912,Antibodies (1966-1972),364
D000913,Antibodies (1966-1987),365
D000914,Antibodies (1966-1972),366
D000915,Antibodies (1966-1978),367
D000916,Antibodies (1966-1969),368
D000918,Antibodies (1966-1969),369
D000919,"Antibodies, Bacterial (1974-1979)",370
D000920,"Cytotoxicity Tests, Immunologic (1971-1977)",371
D000921,Antibody Formation (1966-1969),372
D000922,"Antibodies, Monoclonal (1982-1986)",373
D000923,Anthelmintics (1966-1974),374
D000929,Antidepressive Agents (1968-1974),375
D000930,Gastrointestinal Agents (1967-1974),376
D000934,Silicones (1966-1976),377
D000936,Antibodies (1966-1969),378
D000938,Antigenic Determinants (1970-1984),379
D000939,Antigens (1966-1969),380
D000940,Antigenic Determinants (1975-1987),381
D000942,Antigens (1966-1970),382
D000943,Antigens (1966-1977),383
D000944,"Antigens, Surface (1979-1987)",384
D000945,Antigens (1971-1978),385
D000946,Antigens (1966-1972),386
D000947,Antigens (1966-1984),387
D000949,HLA Antigens (1975-1980),388
D000950,Lymphocytes (1966-1981),389
D000951,Antigens (1966-1972),390
D000952,"Antigens, Viral (1973-1983)",391
D000953,Antigens (1966-1984),392
D000954,Antigens (1966-1978),393
D000955,Antibody Formation (1969-1971),394
D000956,Antigens (1966-1972),395
D000957,Antigens (1966-1972),396
D000961,Immune Sera (1966-1967),397
D000964,Antineoplastic Agents (1966-1974),398
D000966,Antimony (1969-1975),399
D000967,Antimony (1970-1975),400
D000969,Anthelmintics (1966-1973),401
D000971,"Drug Therapy, Combination (1974-1983)",402
D000972,Antineoplastic Agents (1966-1974),403
D000976,Oligopeptides (1973-1979),404
D000978,Parasympatholytics (1966-1972),405
D000979,Fibrinolysin/antagonists & inhibitors (1968-1979),406
D000980,Anthelmintics (1966-1974),407
D000986,"Anemia, Sickle Cell (1966-1976)",408
D000988,Contraceptive Agents (1967-1974),409
D001001,Amphibia (1966-1980),410
D001010,Anxiety (1966-1967),411
D001022,Heart Valve Diseases (1966),412
D001023,Aortic Valve (1966-1987),413
D001025,Aortic Diseases (1966-1979),414
D001026,Coronary Disease/surgery (1966-1971),415
D001028,"Aorta, Thoracic/abnormalities (1966-1983)",416
D001030,Bees (1966-1977),417
D001032,Dimethylamines (1973-1974),418
D001034,"Infant, Newborn (1966-1970)",419
D001035,"Lens, Crystalline (1966-1977)",420
D001036,Cataract Extraction (1966-1977),421
D001039,Aphasia (1966-1979),422
D001041,Aphasia (1966-1979),423
D001042,Insects (1966-1971),424
D001044,Voice (1966-1968),425
D001048,Mollusca (1966-1977),426
D001053,Apoproteins (1972-1976),427
D001054,Apolipoproteins (1977-1984),428
D001055,Apolipoproteins (1977-1984),429
D001056,Apolipoproteins (1977-1984),430
D001057,Apolipoproteins (1977-1984),431
D001059,Enzymes (1966-1971),432
D001060,Apomorphine (1966-1968),433
D001070,Behavior (1966-1967),434
D001071,"Outpatient Clinics, Hospital (1966-1967)",435
D001073,Aniline Compounds (1974),436
D001074,Carbamates (1966-1971),437
D001080,Polynucleotides (1972-1975),438
D001081,Adenosine Triphosphate (1974-1975),439
D001084,Adenine Nucleotides (1966-1970),440
D001085,Cytarabine (1966-1978),441
D001086,Arabinose (1972-1974)/analogs & derivatives (1975),442
D001087,Nucleosides (1966-1978),443
D001088,Nucleotides (1966-1978),444
D001091,Lipoxygenases (1974-1986),445
D001092,Lipoxygenases (1974-1986),446
D001093,Lipoxygenases (1974-1986),447
D001094,Lipoxygenases (1974-1986),448
D001095,"Fatty Acids, Essential (1966)",449
D001096,Arthropod Vectors (1966-1970),450
D001100,Brain Diseases (1966),451
D001101,Prostaglandins (1966-1974),452
D001105,Bacteria (1966-1980),453
D001107,Architecture (1966-Jul 1977),454
D001111,Hypothalamus (1966-1982),455
D001115,Nicotinic Acids (1969-1972),456
D001116,RNA Viruses (1966-1977),457
D001117,Arenaviridae (1978-1980),458
D001121,Arginine (1972-1974),459
D001122,Arginine (1966-1978),460
D001123,Arginine (1973-1974),461
D001124,Arginine (1973-1974),462
D001125,Arginine (1971-1974) /analogs & derivatives (1975),463
D001126,Amino Acyl T RNA Synthetases (1973-1974),464
D001127,Arginine (1966-1974),465
D001133,Arm (1966-1997),466
D001138,Cholinesterase Inhibitors (1966-1978),467
D001141,Androstanes (1972-1974),468
D001142,Dopa Decarboxylase (1966-1979),469
D001147,Arsenicals (1966-1978),470
D001148,Arsenicals (1969-1974),471
D001150,Arsenicals (1966-1979),472
D001156,Crustacea (1966-1978),473
D001157,Vascular Diseases (1966-1972),474
D001159,specific arteries (1966-1986),475
D001160,Arteries (1966-1977),476
D001165,Arteriovenous Fistula/congenital (1966-1968),477
D001166,Arteries/surgery (1966-1969),478
D001169,Arthritis (1966-1974),479
D001175,Radiography (1966-1985),480
D001180,Arthropods (1966-1977),481
D001182,Endoscopy (1966-1981),482
D001185,Computers (1966-1985),483
D001189,Hydroxylases (1971-1974),484
D001191,Acetyltransferases (1973-1979),485
D001192,Phenols (1973-1974),486
D001193,Laryngeal Cartilages (1966-1979),487
D001194,Minerals (1966-1968),488
D001197,Nematoda (1966-1971),489
D001199,Nematoda (1966-1974),490
D001202,Ascites (1966-1967),491
D001204,Ascorbic Acid (1973-1974),492
D001212,Glycoproteins (1966-1984),493
D001213,Ethnic Groups (1968-1974),494
D001215,Amidohydrolases (1966-1967),495
D001217,Ammonia (1973-1974),496
D001218,Aspartic Acid (1974),497
D001220,Ammonia-Lyases (1973-1974),498
D001222,Aspartic Acid (1974),499
D001225,Alcohol Oxidoreductases (1973-1975),500
D001226,Amino Acyl T RNA Synthetases (1973-1974),501
D001227,Amidohydrolases (1970-1974),502
D001229,Aspergillosis (1966-1978),503
D001231,Aspergillus (1966-1971),504
D001232,Aspergillus (1966-1971),505
D001233,Aspergillus (1966-1971),506
D001234,Aspergillus (1966-1974),507
D001235,Aspergillus (1966-1985),508
D001240,Motivation (1966-1974),509
D001242,Aggression (1966-1979),510
D001243,Heart-Lung Machine (1966),511
D001250,Asthma (1966-1978),512
D001253,Neuroglia (1966-1974),513
D001257,"Diarrhea, Infantile (1975-1978)",514
D001260,Ataxia (1966-1967),515
D001262,Acetamides (1974),516
D001265,Sport Medicine (1966-1967),517
D001268,Atlas (1966-1982),518
D001272,Air (1966-1971),519
D001275,Lyases (1966-1972),520
D001276,Adenosine Triphosphate (1972-1975),521
D001277,Adenosine Triphosphate (1966-1979),522
D001278,Glycosides (1968-1975),523
D001279,Isoquinolines (1966-1986),524
D001280,Herbicides (1966-1971),525
D001286,Atropine (1966-1974),526
D001287,Coliphages (1966-1979),527
D001289,"Brain Damage, Chronic (1966-1968)",528
D001291,Attitude (1966-1967),529
D001294,Attitude (1966-1967),530
D001295,Bacteria (1966-1974),531
D001298,Hearing (1966-1977),532
D001300,Audiometry (1966-1979),533
D001301,Audiometry (1966-1979),534
D001302,Audiometry (1966-1979),535
D001303,Cerebral Cortex (1966-1967),536
D001305,Auditory Threshold (1968-1979),537
D001306,Auditory Cortex (1968-1970),538
D001307,Hearing (1966),539
D001308,Auditory Perception (1967-1979),540
D001309,Hearing (1966-1967),541
D001310,Gold (1966-1974),542
D001312,Benzoates (1972-1974),543
D001313,Antibiotics (1968-1974),544
D001321,Autism (1966-1970),545
D001322,Automation (1966),546
D001324,Antigens (1966-1972),547
D001329,Postmortem Changes (1966-1967),548
D001338,"Ganglia, Autonomic (1966-1970)",549
D001339,"Ganglia, Autonomic (1966-1970)",550
D001342,Autonomic Nervous System (1966-1980),551
D001343,Autolysis (1968-1978),552
D001348,Behavior Therapy (1966-1969),553
D001370,Axons (1966-1968),554
D001371,Benzyl Compounds (1972-1974),555
D001372,specific parent compound (1972-1973),556
D001373,Aza Compounds (1972-1977),557
D001374,Nucleosides (1966-1971),558
D001376,Butyrophenones (1971-1974),559
D001378,Steroids (1968-1974),560
D001380,Antimetabolites (1966-1971),561
D001383,Azetines (1974-1975),562
D001387,Insecticides (1966-1971),563
D001390,Penicillins (1966-1984),564
D001397,Azo Compounds (1973-1975),565
D001398,Antibiotics (1966-1982),566
D001399,Dimethylamines (1974-1975),567
D001400,Bacterial Proteins (1970-1974),568
D001402,Lymphocytes (1966-1972),569
D001404,Protozoan Infections (1966-1967),570
D001406,Bacteria (1966-1974),571
D001411,Bacillus (1966-1974),572
D001413,Bacillus (1966-1974),573
D001417,Radiation (1966-1970),574
D001418,Aminobutyric Acids (1972-1974),575
D001420,Aerobiosis (1971-1983),576
D001421,Anaerobiosis (1971-1983),577
D001422,Adhesiveness (1969-1986),578
D001424,Infection (1966-1971),579
D001425,Bacterial Proteins (1966-1984),580
D001427,Bacteria (1966-1976),581
D001429,Chlorophyll (1974),582
D001436,Bacterial Proteins (1974-1975),583
D001438,Bacteria (1966-1974),584
D001441,Bacteroides (1966-1975),585
D001442,Bacteroides (1966-1967),586
D001443,Bacteroides (1966-1975),587
D001449,Kidney Diseases (1966-1981),588
D001451,"Angioplasty, Transluminal (1982-1987)",589
D001455,Antibiotics (1966-1978),590
D001457,Blood Proteins (1966-1983),591
D001462,Barbiturates (1968-1975),592
D001465,Barium (1968-1987),593
D001468,Crustacea (1966-1971),594
D001469,Decompression Sickness (1966-1978),595
D001471,Esophageal Stenosis (1966-1980),596
D001475,Bacteria (1966-1974),597
D001476,Bartonella Infections (1966-1976),598
D001478,Bone Cyst (1966-1979),599
D001480,Movement Disorders (1966-1971),600
D001483,Nucleotides/analysis (1966-1970),601
D001484,Sports (1966-1976),602
D001490,Athletic Injuries (1968-1986),603
D001492,Fishes (1966-1986),604
D001498,Nifedipine/analogs & derivatives (1975-1986),605
D001499,Probability (1966-1974),606
D001501,Bacteria (1966-1976),607
D001502,Birds (1966-1967),608
D001506,"Abnormalities, Multiple (1968-1982)",609
D001507,Pregnanetriol (1966-1972),610
D001508,Bed Occupancy (1978-1981),611
D001510,Immobilization (1966-1976),612
D001514,Bees (1966-1977),613
D001520,Behavior (1966-1997),614
D001525,Behavior (1966-1969),615
D001533,Belladonna (1968-1974),616
D001537,Benzyl Compounds (1972-1974),617
D001542,Benzimidazoles (1972-1974),618
D001545,Benzene (1966-1967),619
D001546,Aluminum Silicates (1966-1972),620
D001547,Aldehydes (1966-1971),621
D001549,Amides (1966-1972),622
D001550,Amidines (1972-1974),623
D001553,Benzoates (1971-1974),624
D001555,Benzene (1966-1967),625
D001558,Ammonium Compounds (1969-1974),626
D001559,Benzene Derivatives (1968-1974),627
D001564,Benzopyrenes (1966-1984),628
D001569,Benzazepines (1968-1974),629
D001571,Flavones (1966-1978),630
D001574,Sulfonamides (1970-1975),631
D001576,Aniline Compounds (1969-1974),632
D001577,Ketones (1966-1967),633
D001579,Benzopyrenes (1968-1974),634
D001585,Benzoates (1972-1975),635
D001586,Anilides (1971-1974),636
D001587,Arginine (1973-1974) /analogs & derivatives (1975),637
D001588,Benzoates (1972-1975),638
D001590,Tropanes (1972-1990),639
D001591,Benzyl Compounds (1971-1974),640
D001592,Alcohols (1972-1974),641
D001593,Benzene Derivatives (1968-1970),642
D001594,Benzyl Compounds (1972-1974),643
D001595,Benzyl Compounds (1973-1974),644
D001596,Amines (1969-1975),645
D001597,Benzene Derivatives (1968-1974),646
D001599,Berbines (1972-1975),647
D001600,Alkaloids (1966-1968),648
D001601,Grief (1968-1987),649
D001606,Blood Platelet Disorders (1967-1985),650
D001607,Lung Diseases (1966-1978),651
D001610,Electrons (1966-1984),652
D001613,Beta Globulins (1973-1974),653
D001614,Amylases (1966-1977),654
D001615,Endorphins (1978-1987),655
D001616,Galactosidases (1966-1977),656
D001617,Glucosidases (1966-1977),657
D001618,Amidohydrolases (1966-1978),658
D001619,Glycoside Hydrolases (1966-1970),659
D001620,Beta Globulins (1966-1979),660
D001624,Betamethasone (1974) /AA (1975),661
D001625,Ethylamines (1972-1974),662
D001627,Benzyl Compounds (1972-1974),663
D001629,Benzamides (1977-1978),664
D001640,Alkaloids (1972-1974),665
D001642,Exercise Test (1966-1982),666
D001644,Actinomycetaceae (1975-1983),667
D001648,"Bile Ducts, Intrahepatic (1966-1980)",668
D001649,Bile Ducts (1966-1979),669
D001651,Bile Ducts (1966-1979),670
D001655,Bile (1966-1980),671
D001656,Bile Ducts/abnormalities (1966-1986),672
D001661,Bile Duct Neoplasms (1966-1979),673
D001662,Biliary Tract Diseases/surgery (1966-1987),674
D001664,Bilirubin (1969-1975),675
D001665,Antigen-Antibody Reactions (1966-1967),676
D001666,Antibodies (1966-1972),677
D001667,Binding Sites (1968-1972),678
D001669,Biochemistry (1966-1997),679
D001672,Prosthesis (1966-1971),680
D001673,Biophysics (1966-1968),681
D001675,"Ethics, Medical (1966-1977)",682
D001676,Feedback (1966-1976),683
D001679,Amines (1966-1970),684
D001682,Biopharmaceutics (1966-1974),685
D001684,Bandages (1966-1977),686
D001689,Psychiatry (1966-1983),687
D001690,Biology (1975-1990),688
D001696,Biophysics (1966-1967),689
D001699,Scattered(1974-2008),690
D001700,Snails (1966-1971),691
D001702,"Chemistry, Pharmaceutical (1966-1969)",692
D001704,Macromolecular Substances (1975-2004),693
D001705,Heart Valve Prosthesis (1966-1978),694
D001707,Biopsy (1966-1972),695
D001708,Propanediols (1972-1974),696
D001716,Farmer's Lung (1966-1976),697
D001721,Family Characteristics (1968-1979),698
D001723,Population (1966),699
