`pcrs_id`,`description`
aamc-pcrs-comp-c0303,"Identify and perform learning activities that address one's gaps in knowledge, skills, and/or attitudes"
aamc-pcrs-comp-c0304,"Systematically analyze practice using quality improvement methods, and implement changes with the goal of practice improvement"
aamc-pcrs-comp-c0305,Incorporate feedback into daily practice
aamc-pcrs-comp-c0306,"Locate, appraise, and assimilate evidence from scientific studies related to patients' health problems"
aamc-pcrs-comp-c0307,Use information technology to optimize learning
aamc-pcrs-comp-c0308,"Participate in the education of patients, families, students, trainees, peers and other health professionals"
aamc-pcrs-comp-c0309,"Obtain and utilize information about individual patients, populations of patients, or communities from which patients are drawn to improve care"
aamc-pcrs-comp-c0310,"Continually identify, analyze, and implement new knowledge, guidelines, standards, technologies, products, or services that have been demonstrated to improve outcomes"
aamc-pcrs-comp-c0399,Other practice-based learning and improvement
aamc-pcrs-comp-c0401,"Communicate effectively with patients, families, and the public, as appropriate, across a broad range of socioeconomic and cultural backgrounds"
aamc-pcrs-comp-c0402,"Communicate effectively with colleagues within one's profession or specialty, other health professionals, and health related agencies (see also 7.3)"
aamc-pcrs-comp-c0403,Work effectively with others as a member or leader of a health care team or other professional group (see also 7.4)
aamc-pcrs-comp-c0404,Act in a consultative role to other health professionals
aamc-pcrs-comp-c0405,"Maintain comprehensive, timely, and legible medical records"
aamc-pcrs-comp-c0406,"Demonstrate sensitivity, honesty, and compassion in difficult conversations, including those about death, end of life, adverse events, bad news, disclosure of errors, and other sensitive topics"
aamc-pcrs-comp-c0407,Demonstrate insight and understanding about emotions and human responses to emotions that allow one to develop and manage interpersonal interactions
aamc-pcrs-comp-c0499,Other interpersonal and communication skills
aamc-pcrs-comp-c0501,"Demonstrate compassion, integrity, and respect for others "
aamc-pcrs-comp-c0502,Demonstrate responsiveness to patient needs that supersedes self-interest 
aamc-pcrs-comp-c0503,Demonstrate respect for patient privacy and autonomy 
aamc-pcrs-comp-c0504,"Demonstrate accountability to patients, society, and the profession "
aamc-pcrs-comp-c0505,"Demonstrate sensitivity and responsiveness to a diverse patient population, including but not limited to diversity in gender, age, culture, race, religion, disabilities, and sexual orientation "
aamc-pcrs-comp-c0506,"Demonstrate a commitment to ethical principles pertaining to provision or withholding of care, confidentiality, informed consent, and business practices, including compliance with relevant laws, policies, and regulations"
aamc-pcrs-comp-c0599,Other professionalism
aamc-pcrs-comp-c0601,Work effectively in various health care delivery settings and systems relevant to one's clinical specialty
aamc-pcrs-comp-c0602,Coordinate patient care within the health care system relevant to one's clinical specialty
aamc-pcrs-comp-c0603,Incorporate considerations of cost awareness and risk-benefit analysis in patient and/or population-based care
aamc-pcrs-comp-c0604,Advocate for quality patient care and optimal patient care systems
aamc-pcrs-comp-c0605,Participate in identifying system errors and implementing potential systems solutions
aamc-pcrs-comp-c0606,"Perform administrative and practice management responsibilities commensurate with one’s role, abilities, and qualifications"
aamc-pcrs-comp-c0699,Other systems-based practice
aamc-pcrs-comp-c0701,"Work with other health professionals to establish and maintain a climate of mutual respect, dignity, diversity, ethical integrity, and trust"
aamc-pcrs-comp-c0702,Use the knowledge of one’s own role and the roles of other health professionals to appropriately assess and address the health care needs of the patients and populations served
aamc-pcrs-comp-c0703,Communicate with other health professionals in a responsive and responsible manner that supports the maintenance of health and the treatment of disease in individual patients and populations
aamc-pcrs-comp-c0704,"Participate in different team roles to establish, develop, and continuously enhance interprofessional teams to provide patient- and population-centered care that is safe, timely, efficient, effective, and equitable"
aamc-pcrs-comp-c0799,Other interprofessional collaboration
aamc-pcrs-comp-c0801,"Develop the ability to use self-awareness of knowledge, skills, and emotional limitations to engage in appropriate help-seeking behaviors "
aamc-pcrs-comp-c0802,Demonstrate healthy coping mechanisms to respond to stress 
aamc-pcrs-comp-c0803,Manage conflict between personal and professional responsibilities 
aamc-pcrs-comp-c0804,Practice flexibility and maturity in adjusting to change with the capacity to alter one's behavior 
aamc-pcrs-comp-c0805,Demonstrate trustworthiness that makes colleagues feel secure when one is responsible for the care of patients 
aamc-pcrs-comp-c0806,"Provide leadership skills that enhance team functioning, the learning environment, and/or the health care delivery system "
aamc-pcrs-comp-c0807,"Demonstrate self-confidence that puts patients, families, and members of the health care team at ease "
aamc-pcrs-comp-c0808,Recognize that ambiguity is part of clinical health care and respond by utilizing appropriate resources in dealing with uncertainty
aamc-pcrs-comp-c0899,Other personal and professional development
