mesh_descriptor_uid,name,annotation,deleted
D000067030,"Fruit and Vegetable Juices","coordinate with specific fruit or vegetable",0
D000067048,Ghee,,0
D000067071,"Hydraulic Fracking",,0
D000067073,"Psychological Trauma",,0
D000067074,"Peer Influence",,0
D000067075,"Vegetable Products",,0
D000067088,"Direct-to-Consumer Advertising",,0
D000067108,"Direct-To-Consumer Screening and Testing",,0
D000067128,"Extracellular Vesicles",,0
D000067148,"Fungal Viruses","coordinate with specific fungus/ virol",0
D000067170,Telocytes,,0
D000067190,"Exoskeleton Device",,0
D000067208,"Shellfish Hypersensitivity",,0
D000067248,"Failure to Rescue, Health Care",,0
D000067250,"Psychiatric Rehabilitation",,0
D000067251,"Symptom Flare Up",,0
D000067268,"Isolated Heart Preparation",,0
D000067269,"Diet, Vegan",,0
D000067289,"Behavior Observation Techniques",,0
D000067290,"Behavior Rating Scale",,0
D000067292,"Alcohol Drinking in College",,0
D000067329,"Obesity, Metabolically Benign",,0
D000067348,"Whole Grains",,0
D000067368,"Transanal Endoscopic Surgery",,0
D000067369,"Transanal Endoscopic Microsurgery",,0
D000067390,"Cold Injury",,0
D000067393,"Personal Protective Equipment",,0
D000067397,"Nerve Agents",,0
D000067398,"War-Related Injuries",,0
D000067399,"Abnormal Involuntary Movement Scale",,0
D000067401,"Blood Alcohol Content",,0
D000067404,"Social Communication Disorder",,0
D000067408,"Legal Services",,0
D000067448,Defamation,,0
D000067449,"Anger Management Therapy",,0
D000067450,"Psychology, Sports",,0
D000067453,"War Exposure",,0
D000067454,"Childhood-Onset Fluency Disorder",,0
D000067455,"No-Show Patients",,0
D000067470,"Cellular Reprogramming Techniques",,0
D000067489,Metacognition,,0
D000067490,"Prescription Drug Overuse",,0
D000067491,"Near Miss, Healthcare",,0
D000067492,"RNAi Therapeutics",,0
D000067493,"Dynamic Light Scattering",,0
D000067494,"Time Out, Healthcare",,0
D000067495,"Healthcare Failure Mode and Effect Analysis",,0
D000067496,"Spirit Possession",,0
D000067498,"Crew Resource Management, Healthcare",,0
D000067508,"Computer Heuristics",,0
D000067528,Ataxins,,0
D000067531,Alarmins,,0
D000067548,"Dermal Fillers",,0
D000067549,"Action Spectrum",,0
D000067551,Diplomacy,,0
D000067552,"Mutation Accumulation",,0
D000067556,"Internal Ribosome Entry Sites",,0
D000067558,"Biological Mimicry",,0
D000067559,"Specific Learning Disorder",,0
D000067561,"Potentially Inappropriate Medication List",,0
D000067562,"Late Onset Disorders",,0
D000067563,"Phakopsora pachyrhizi",,0
D000067565,Farmers,,0
D000067568,"Culturally Appropriate Technology",,0
D000067570,"Social Learning",,0
D000067571,"Financial Statements",,0
D000067572,Miners,,0
D000067573,Chronopharmacokinetics,,0
D000067575,"Administrative Claims, Healthcare",,0
D000067576,"Child Health",,0
D000067596,Interleukin-33,,0
D000067616,"S100A12 Protein",,0
D000067617,Telopodes,,0
D000067636,"Drosophila simulans",,0
D000067656,Optimism,,0
D000067657,Pessimism,,0
D000067696,Ataxin-1,,0
D000067697,"Adolescent Health",,0
D000067698,Ataxin-2,,0
D000067699,Ataxin-3,,0
D000067716,"Point-of-Care Testing",,0
D000067719,Ataxin-7,,0
D000067736,Ataxin-10,,0
D000067756,"Glucagon-Like Peptide Receptors",,0
D000067757,"Glucagon-Like Peptide-1 Receptor",,0
D000067758,"Glucagon-Like Peptide-2 Receptor",,0
D000067759,"Receptor for Advanced Glycation End Products",,0
D000067776,"RNA Recognition Motif Proteins",,0
D000067777,"ELAV-Like Protein 2",,0
D000067778,"ELAV-Like Protein 3",,0
D000067779,"ELAV-Like Protein 4",,0
D000067780,"ELAV-Like Protein 1",,0
D000067796,Whey,,0
D000067816,"Whey Proteins",,0
D000067836,"Hoarding Disorder","differentiate from HOARDING",0
D000067856,"Poly(ADP-ribose) Polymerase Inhibitors",,0
D000067877,"Autism Spectrum Disorder",,0
D000067878,"CELF Proteins",,0
D000067879,"CELF1 Protein",,0
D000067896,"Industrial Development",,0
D000067917,"Cloud Computing",,0
D000067936,"Natural Resources","coordinate with  specific natural resource if pertinent",0
D000067940,"Glycemic Load","GLYCEMIC INDEX is also available",0
D000067956,"Adenylyl Cyclase Inhibitors",,0
D000067996,"RAW 264.7 Cells","almost always NIM with no subheadings; check ANIMALS and MICE",0
D000068,Accreditation,"by the profession; do not confuse with LICENSURE (by the state)",0
D000068016,Clostridiales,,0
D000068036,"Graphic Novel","This heading is used as a Publication Type. Graphic novels as a subject are indexed under the main heading GRAPHIC NOVELS AS TOPIC.  INDEXER: Do not use",0
D000068037,"South Sudan",,0
D000068079,"Motor Disorders",,0
D000068097,"Maternal Health",,0
D000068098,"Seed Bank",,0
D000068099,"Trauma and Stressor Related Disorders",,0
D000068101,"Maternal-Child Health Services",,0
D000068103,"Serine-Arginine Splicing Factors",,0
D000068104,"Infant Health",,0
D000068105,"Bipolar and Related Disorders",,0
D000068116,"Gender Dysphoria",,0
D000068156,"Formative Feedback",,0
D000068180,Aripiprazole,,0
D000068181,"Prunus dulcis",,0
D000068196,"Albumin-Bound Paclitaxel",,0
D000068216,"Child Protective Services",,0
D000068217,"Social Workers",,0
D000068218,"Prunus africana",,0
D000068219,"Prunus armeniaca",,0
D000068220,"Prunus avium",,0
D000068236,Refugium,,0
D000068237,"Distance Counseling",,0
D000068238,Lubiprostone,,0
D000068239,"Prunus persica",,0
D000068240,"Data Anonymization",,0
D000068241,"Personally Identifiable Information",,0
D000068242,"Prunus domestica",,0
D000068256,"Darbepoetin alfa",,0
D000068257,"Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",,0
D000068258,Bevacizumab,,0
D000068276,Giraffes,,0
D000068296,"Risedronic Acid",,0
D000068297,"Fluticasone-Salmeterol Drug Combination",,0
D000068298,Fluticasone,,0
D000068299,"Salmeterol Xinafoate",,0
D000068316,"Parks, Recreational",,0
D000068336,"Warfare and Armed Conflicts","used for searching; INDEXER: Do not use; CATALOGER: Do not use",0
D000068337,"Armed Conflicts",,0
D000068338,Everolimus,,0
D000068342,"Aspirin, Dipyridamole Drug Combination",,0
D000068356,Self-Control,,0
D000068357,"Saline Waters",,0
D000068376,"Compassion Fatigue",,0
D000068377,Plantaginaceae,,0
D000068378,Lamiales,,0
D000068397,"Clinical Study","This heading is used as a Publication Type for original report  of  the conduct or results of a specific clinical study. A different heading CLINICAL STUDIES AS TOPIC is used for general design, methodology, economics, etc. of clinical studies. Prefer the specifics: CLINICAL TRIAL or OBSERVATIONAL STUDY.",0
D000068436,"Surgical Clearance",,0
D000068437,Pemetrexed,,0
D000068438,"Brimonidine Tartrate",,0
D000068456,"Clinical Studies as Topic","for general design, methodology, economics, etc. of clinical studies; a different heading CLINICAL STUDY is used for reports of a specific clinical study",0
D000068476,Beijing,,0
D000068516,"African Union","Cataloger: Use NAF entry",0
D000068536,Firmicutes,,0
D000068538,Dutasteride,,0
D000068543,Calceolariaceae,,0
D000068556,"Interferon beta-1a",,0
D000068557,"Olmesartan Medoxomil",,0
D000068558,"Amlodipine Besylate, Olmesartan Medoxomil Drug Combination",,0
D000068576,"Interferon beta-1b",,0
D000068577,Nebivolol,,0
D000068579,Celecoxib,,0
D000068580,Varenicline,,0
D000068581,Tadalafil,,0
D000068582,"Certolizumab Pegol",,0
D000068597,"Censorship, Research",,0
D000068598,"Data Accuracy",,0
D000068599,"Brimonidine Tartrate, Timolol Maleate Drug Combination",,0
D000068600,"Albuterol, Ipratropium Drug Combination",,0
D000068601,"Dual Use Research",,0
D000068616,Professionalism,,0
D000068617,"Genetic Background",,0
D000068618,"Selective Breeding",,0
D000068636,"Legendary Creatures",,0
D000068656,"Mometasone Furoate",,0
D000068676,"Fallopia multiflora",,0
D000068677,"Sildenafil Citrate",,0
D000068678,"Emtricitabine, Rilpivirine, Tenofovir Drug Combination",,0
D000068679,Emtricitabine,,0
D000068696,Rilpivirine,,0
D000068698,Tenofovir,,0
D000068717,"Glatiramer Acetate",,0
D000068718,"Rosuvastatin Calcium",,0
D000068736,"Duloxetine Hydrochloride",,0
D000068737,"Tolterodine Tartrate",,0
D000068756,Valsartan,,0
D000068757,Ononis,,0
D000068758,"Mometasone Furoate, Formoterol Fumarate Drug Combination",,0
D000068759,"Formoterol Fumarate",,0
D000068760,"Serotonin and Noradrenaline Reuptake Inhibitors",,0
D000068776,"Sleep Aids, Pharmaceutical",,0
D000068796,"Orexin Receptor Antagonists",,0
D000068797,Orexins,,0
D000068798,Hoodia,,0
D000068799,"Prasugrel Hydrochloride",,0
D000068800,Etanercept,,0
D000068801,"Adapalene, Benzoyl Peroxide Drug Combination",,0
D000068816,Adapalene,,0
D000068817,"Epoetin Alfa",,0
D000068818,Cetuximab,,0
D000068819,"Hyssopus Plant",,0
D000068836,Rivastigmine,,0
D000068837,Parmeliaceae,,0
D000068838,"Amlodipine, Valsartan Drug Combination",,0
D000068856,Eugenia,,0
D000068857,"Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18",,0
D000068858,"Kombucha Tea",,0
D000068876,"Fingolimod Hydrochloride",,0
D000068877,"Imatinib Mesylate",,0
D000068878,Trastuzumab,,0
D000068879,Adalimumab,,0
D000068880,"Isophane Insulin, Human",,0
D000068881,"Animals, Exotic","use only when specified by author; coordinate with ANIMALS, WILD or ANIMALS, ZOO as needed",0
D000068882,"Paliperidone Palmitate",,0
D000068884,Immunosenescence,,0
D000068896,Canagliflozin,,0
D000068897,Iridescence,,0
D000068898,"Raltegravir Potassium",,0
D000068899,"Sitagliptin Phosphate, Metformin Hydrochloride Drug Combination",,0
D000068900,"Sitagliptin Phosphate",,0
D000068916,"Spatial Regression",,0
D000068936,"Theranostic Nanomedicine",,0
D000068937,Cosmeceuticals,,0
D000068956,"Prisoner Dilemma",,0
D000068957,"Games, Recreational",,0
D000068958,"Return to Sport",,0
D000068959,"Body Weight Maintenance",,0
D000068977,"Concierge Medicine",,0
D000068997,Smartphone,,0
D000068998,Humidifiers,,0
D000069,Acculturation,,0
D000069036,"Insulin Glargine",,0
D000069056,"Lurasidone Hydrochloride",,0
D000069057,"Insulin Detemir",,0
D000069058,"Vardenafil Dihydrochloride",,0
D000069059,Atorvastatin,,0
D000069076,"Fractures, Multiple",,0
D000069077,"Memory Consolidation",,0
D000069078,Seroconversion,,0
D000069079,"Radiation Exposure",,0
D000069098,"Health Smart Cards",,0
D000069177,"Type I Secretion Systems",,0
D000069178,"Type II Secretion Systems",,0
D000069196,"Gastrointestinal Microbiome",,0
D000069216,"Contraceptive Prevalence Surveys",,0
D000069236,"Pericardial Fluid",,0
D000069237,Arthrocentesis,,0
D000069258,Thoracentesis,,0
D000069259,"Superficial Musculoaponeurotic System",,0
D000069261,Podosomes,,0
D000069262,"Plantar Plate",,0
D000069263,Fallopia,,0
D000069278,"Arterial Switch Operation",,0
D000069279,"Drug Resistant Epilepsy",,0
D000069280,Electrocorticography,,0
D000069281,"Autoimmune Hypophysitis",,0
D000069282,Canaliculitis,,0
D000069283,Rituximab,,0
D000069284,"Protein Translocation Systems",,0
D000069285,Infliximab,,0
D000069286,Bortezomib,,0
D000069287,Capecitabine,,0
D000069289,"Parasite Encystment",,0
D000069290,"Incisional Hernia",,0
D000069292,Pyroptosis,,0
D000069293,"Plasmablastic Lymphoma",,0
D000069294,"Twin-Arginine-Translocation System",,0
D000069295,"Mammary Analogue Secretory Carcinoma",,0
D000069296,"Type III Secretion Systems",,0
D000069316,"Acne Conglobata",,0
D000069319,"Type IV Secretion Systems",,0
D000069320,"Type V Secretion Systems",,0
D000069321,"Mitochondrial Replacement Therapy",,0
D000069322,"Self Expandable Metallic Stents",,0
D000069336,"Neurovascular Coupling",,0
D000069337,"Fused Kidney",,0
D000069338,Neuropathology,"use for the discipline only (education, history, etc.) only",0
D000069339,Trachelectomy,,0
D000069340,Deprescriptions,,0
D000069341,"Transitional Care",,0
D000069342,"Medical Overuse",,0
D000069343,"Bone-Implant Interface",,0
D000069347,"Erlotinib Hydrochloride",,0
D000069348,"Quetiapine Fumarate",,0
D000069349,Linezolid,,0
D000069350,Telerehabilitation,,0
D000069356,Tympanocentesis,,0
D000069376,"Type VI Secretion Systems",,0
D000069377,"Type VII Secretion Systems",,0
D000069396,"Mitochondrial Ribosomes",,0
D000069416,"Intravital Microscopy",,0
D000069436,"Toxicological Phenomena","general or unspecified; prefer specifics",0
D000069437,"Pharmacological Phenomena","general or unspecified; prefer specifics",0
D000069438,Ezetimibe,,0
D000069439,Dasatinib,,0
D000069442,Natalizumab,,0
D000069443,"Heptavalent Pneumococcal Conjugate Vaccine",,0
D000069444,Omalizumab,,0
D000069445,"Atomoxetine Hydrochloride",,0
D000069446,"Atazanavir Sulfate",,0
D000069447,"Tiotropium Bromide",,0
D000069448,Denosumab,,0
D000069449,Cinacalcet,,0
D000069450,Liraglutide,,0
D000069451,"Long Term Adverse Effects",,0
D000069452,"Pathogen-Associated Molecular Pattern Molecules",,0
D000069453,"Ultrasonic Waves",,0
D000069454,Darunavir,,0
D000069455,Palivizumab,,0
D000069456,"Silent Mutation",,0
D000069457,"Population Forecast",,0
D000069458,Ranolazine,,0
D000069459,"Teas, Herbal",,0
D000069460,"Teas, Medicinal",,0
D000069461,"Bendamustine Hydrochloride",,0
D000069462,"Dimethyl Fumarate",,0
D000069463,"Olive Oil",,0
D000069464,"Solifenacin Succinate",,0
D000069465,Febuxostat,,0
D000069466,"Red Meat",,0
D000069467,"Fecal Microbiota Transplantation",,0
D000069468,"Desvenlafaxine Succinate",,0
D000069469,"Medical-Surgical Nursing",,0
D000069470,"Venlafaxine Hydrochloride",,0
D000069471,Neurosurgeons,,0
D000069472,"Colesevelam Hydrochloride",,0
D000069473,"Radiation Dose Hypofractionation",,0
D000069474,Sofosbuvir,,0
D000069475,Re-Irradiation,,0
D000069476,Linagliptin,,0
D000069478,"Lisdexamfetamine Dimesylate",,0
D000069479,"Buprenorphine, Naloxone Drug Combination",,0
D000069480,"Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",,0
D000069497,"Origin of Life",,0
D000069499,"Ezetimibe, Simvastatin Drug Combination",,0
D000069501,"Abiraterone Acetate",,0
D000069502,"Budesonide, Formoterol Fumarate Drug Combination",,0
D000069503,"Vilazodone Hydrochloride",,0
D000069516,"International Law",,0
D000069520,Blog,"This heading is used as a Publication Type. Blogs as a subject are indexed under the main heading BLOGGING. INDEXER: Do not use",0
D000069537,"Adult Day Care Centers",,0
D000069544,"Infectious Encephalitis","coordinate IM with specific organism /infection term (IM); note ENCEPHALITIS, VIRAL is available",0
D000069545,"Elvitegravir, Cobicistat, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination",,0
D000069547,Cobicistat,,0
D000069549,Ustekinumab,,0
D000069550,"Machine Learning",,0
D000069551,"Environmental Psychology","use for the discipline (education, history, etc) only",0
D000069552,Rivaroxaban,,0
D000069553,"Supervised Machine Learning",,0
D000069555,"Injection, Intratympanic",,0
D000069557,Travoprost,,0
D000069558,"Unsupervised Machine Learning",,0
D000069559,"Loteprednol Etabonate",,0
D000069576,"Health Equity",,0
D000069577,Morcellation,,0
D000069578,"Waterborne Diseases",,0
D000069579,Ranibizumab,,0
D000069580,Bimatoprost,,0
D000069581,"Exposure to Violence",,0
D000069582,Eszopiclone,,0
D000069583,Pregabalin,,0
D000069584,"Unilateral Breast Neoplasms","human only; coordinate IM with histological type of neoplasm (IM)",0
D000069585,Filgrastim,,0
D000069586,"Adult Survivors of Child Adverse Events",,0
D000069590,"Round Ligaments",,0
D000069592,"Round Ligament of Liver",,0
D000069593,"Round Ligament of Femur",,0
D000069594,Abatacept,,0
D000069597,Presenteeism,,0
D000069599,"Crop Production",,0
D000069600,"Plant Breeding",,0
D000069601,"Crop Protection",,0
D000069602,"Working Poor",,0
D000069603,Sevelamer,,0
D000069604,Dabigatran,,0
D000069605,"Olopatadine Hydrochloride",,0
D000069616,Simeprevir,,0
D000069636,Pedestrians,,0
D000069756,"Undocumented Immigrants",,0
D000069796,"Adipose Tissue, Beige",,0
D000069797,"Adipocytes, Beige",,0
D000069816,"SEC Translocation Channels",,0
D000069836,"Degloving Injuries",,0
D000069856,"Staghorn Calculi",,0
D000069877,Struvite,,0
D000069896,"Transcription Activator-Like Effector Nucleases",,0
D000069916,"Endoscopic Mucosal Resection",,0
D000069956,Chocolate,,0
D000069976,"Bacillus licheniformis",,0
D000069977,"Bacillus amyloliquefaciens",,0
D000069978,"Bifidobacterium longum",,0
D000069979,"Bacillus pumilus",,0
D000069980,"Lactobacillus paracasei",,0
D000069981,"Escherichia coli O104","infection: coordinate IM with ESCHERICHIA COLI INFECTIONS (IM)",0
D000069982,"Bifidobacterium animalis",,0
D000069983,"Saccharomyces boulardii",,0
D000069984,"Bifidobacterium breve",,0
D000069985,"Bifidobacterium bifidum",,0
D000069996,"Lactobacillus salivarius",,0
D000069997,"Mastic Resin",,0
D000069998,"Lactobacillus gasseri",,0
D000069999,"Lactobacillus johnsonii",,0
D000070,Acebutolol,,0
D000070000,"Bacillus coagulans",,0
D000070001,"Streptococcus salivarius",,0
D000070002,"Propionibacterium freudenreichii",,0
D000070003,"Lactobacillus crispatus",,0
D000070004,"Ocimum sanctum",,0
D000070005,"Bifidobacterium adolescentis",,0
D000070006,"Pediococcus pentosaceus",,0
D000070007,"Leuconostoc mesenteroides",,0
D000070016,"Pediococcus acidilactici",,0
D000070017,Pediocins,,0
D000070018,"Lactobacillus pentosus",,0
D000070019,"Bacillus clausii",,0
D000070036,Faecalibacterium,,0
D000070037,"Faecalibacterium prausnitzii",,0
D000070057,"Paenibacillus polymyxa",,0
D000070058,"Streptococcus iniae","infection: coordinate IM with STREPTOCOCCAL INFECTIONS (IM)",0
D000070059,"Paenibacillus larvae",,0
D000070060,"Bdellovibrio bacteriovorus",,0
D000070076,"Enterococcus hirae","infection: coordinate IM with GRAM-POSITIVE BACTERIAL INFECTIONS (IM)",0
D000070077,"Bacteroides thetaiotaomicron","infection: coordinate IM with BACTEROIDES INFECTIONS (IM)",0
D000070079,"Aeromonas veronii","infection: coordinate IM with GRAM-NEGATIVE BACTERIAL INFECTIONS (IM)",0
D000070096,"Pseudomonas chlororaphis",,0
D000070097,"Butyrivibrio fibrisolvens",,0
D000070098,"Bacillus firmus",,0
D000070099,"Streptococcus gallolyticus",,0
D000070100,"Informal Sector",,0
D000070101,"Megasphaera elsdenii",,0
D000070116,Lotus,"AMERICAN LOTUS, INDIAN LOTUS and SACRED LOTUS see NELUMBO are also available; lotus seeds and lotus nuts are from the genus NELUMBO, especially NELUMBO NUCIFERA",0
D000070136,"Lipid Droplet Associated Proteins",,0
D000070137,Perilipins,,0
D000070156,"Nogo Receptors",,0
D000070177,Pogostemon,,0
D000070197,"Streptococcus gallolyticus subspecies gallolyticus","infection: coordinate IM with STREPTOCOCCAL INFECTIONS (IM)",0
D000070216,Psacalium,,0
D000070236,"Bifidobacterium longum subspecies infantis",,0
D000070256,"Lactobacillus sakei",,0
D000070257,"Bifidobacterium pseudocatenulatum",,0
D000070260,"Teacher Training",,0
D000070263,"Sleep Hygiene",,0
D000070276,"Heart Rate Determination",,0
